Count,x,y,z,w,phi,theta,mocap_psi,psi
42,-0.00242807646282017,-0.0459631234407425,-0.00444835564121604,-0.998930275440216,0.00528221073739265,0.0919357653464254,-0.00914916341039889,-0.00914916341039889
43,-0.00220162235200405,-0.043617770075798,-0.00393497943878174,-0.999038100242615,0.00476040319326842,0.0872449425033448,-0.00808528830500315,-0.00808528830500315
44,-0.00198531989008188,-0.042444322258234,-0.00359966652467847,-0.999090433120728,0.00428805620211708,0.0848990833316872,-0.00738799181826482,-0.00738799181826482
45,-0.00190245429985225,-0.0412588231265545,-0.00341617991216481,-0.999140858650208,0.00409749167446014,0.0825273980614096,-0.00700738211504433,-0.00700738211504433
46,-0.00182184833101928,-0.0400358885526657,-0.00310610979795456,-0.999191820621491,0.00390197801905817,0.0800813026442355,-0.00637354570694722,-0.00637354570694722
47,-0.00139898189809173,-0.0389908254146576,-0.00253785168752074,-0.999235391616821,0.00300286333183357,0.0779939702914438,-0.0051967384506785,-0.0051967384506785
48,-0.00143657415173948,-0.0377182066440582,-0.00221670372411609,-0.99928492307663,0.00304698681060697,0.0754476603777121,-0.00455157132505668,-0.00455157132505668
49,-0.00120479962788522,-0.0304947067052126,0.000352836272213608,-0.999534130096436,0.00239140752736178,0.0609996741901466,0.000633041220286176,0.000633041220286176
50,-0.00146744993980974,-0.0289550647139549,0.00102541176602244,-0.999579131603241,0.0028791149604272,0.0579211447730061,0.00196828210905605,0.00196828210905605
51,-0.00166116945911199,-0.0272360201925039,0.00163294328376651,-0.999626338481903,0.00323695652494337,0.0544840612148723,0.00317890128764482,0.00317890128764482
52,-0.0018442168366164,-0.0252964179962873,0.00199717888608575,-0.999676287174225,0.00359080139882817,0.0506054225758794,0.00390476939642621,0.00390476939642621
53,-0.00207135220989585,-0.0234986245632172,0.00279660546220839,-0.999717831611633,0.00401454901266314,0.0470128877905136,0.00550038972066456,0.00550038972066456
54,-0.00256601558066905,-0.0174304973334074,0.00498667079955339,-0.999832391738892,0.00496036906854742,0.0348878173674543,0.00988839360469789,0.00988839360469789
55,-0.00289561878889799,-0.0151356644928455,0.00578423589468002,-0.99986457824707,0.00561796537277908,0.0303053628906564,0.0114847755781937,0.0114847755781937
56,-0.00311828660778701,-0.00759691186249256,0.0082981763407588,-0.999931931495667,0.00611081480280152,0.0152451297095986,0.0165505203158707,0.0165505203158707
57,-0.00313975056633353,-0.00495636183768511,0.00926182512193918,-0.999939918518066,0.00618766069307954,0.00997045248370365,0.0184933862668905,0.0184933862668905
58,-0.00301196868531406,-0.00212055607698858,0.0101338215172291,-0.999941945075989,0.00598069903566331,0.00430192403805951,0.0202552615557692,0.0202552615557692
59,-0.0031639994122088,0.000701511511579156,0.0111644174903631,-0.99993246793747,0.00634328302912242,-0.00133228013069853,0.0223336406859736,0.0223336406859736
60,-0.00342582422308624,0.00992761459201574,0.0143738361075521,-0.999841630458832,0.00713741107862074,-0.0197548814383364,0.0288207471184401,0.0288207471184401
61,-0.00329554709605873,0.0133005753159523,0.0152469193562865,-0.999789834022522,0.00699780865465843,-0.0264981683578858,0.0305906050733779,0.0305906050733779
62,-0.00326396222226322,0.0167075078934431,0.0163243673741817,-0.999721884727478,0.00707556993965649,-0.0333053110699064,0.0327727537101637,0.0327727537101637
63,-0.00387652916833758,0.0201609954237938,0.0173678249120712,-0.999638438224793,0.00845748726464243,-0.0401835658246703,0.0349146676022151,0.0349146676022151
64,-0.00354301137849689,0.0239070765674114,0.0180900041013956,-0.999544322490692,0.00795687794865789,-0.0476822357861653,0.0363822887122046,0.0363822887122046
65,-0.00419379537925124,0.0274512339383364,0.0194947235286236,-0.999424278736115,0.00946738868740361,-0.0547346662875765,0.0392661242111933,0.0392661242111933
66,-0.0045873885974288,0.0310685560107231,0.0208169687539339,-0.999289989471436,0.0104820617184891,-0.061941596599689,0.041982238442408,0.041982238442408
67,-0.00503150792792439,0.0349591560661793,0.0217573679983616,-0.999139249324799,0.0116040231216054,-0.0696955898975244,0.0439498843380834,0.0439498843380834
68,-0.00485212961211801,0.0392709411680698,0.0223448108881712,-0.998966932296753,0.0114846988435155,-0.07832396261126,0.0451783769319644,0.0451783769319644
69,-0.0047665573656559,0.0435549095273018,0.0231738984584808,-0.998770892620087,0.0115840314363597,-0.0868911234322121,0.0469001060078241,0.0469001060078241
70,-0.00491651194170117,0.0478672236204147,0.0241308864206076,-0.998550057411194,0.0121847500575046,-0.0955034756531776,0.0489047389020232,0.0489047389020232
71,-0.00552517035976052,0.0520840920507908,0.025178225710988,-0.998309969902039,0.0137289016595773,-0.103900746976388,0.05114488338611,0.05114488338611
72,-0.00472901994362474,0.0570363886654377,0.0255727525800467,-0.998033344745636,0.012437434454635,-0.113852369857284,0.0519438687753973,0.0519438687753973
73,-0.00437491200864315,0.0665569603443146,0.0272518750280142,-0.99740082025528,0.0124649577518233,-0.132920538800766,0.0554618489420678,0.0554618489420678
74,-0.00407739588990808,0.0716394707560539,0.0279142949730158,-0.997031629085541,0.012255712595467,-0.143114019131427,0.0568586725655982,0.0568586725655982
75,-0.00377238309010863,0.0769324749708176,0.0285242982208729,-0.996621012687683,0.0120505750108903,-0.153734701025621,0.0581545296308038,0.0581545296308038
76,-0.00311041250824928,0.0876113027334213,0.0303577948361635,-0.995687186717987,0.0116925676254921,-0.175172555775696,0.0619864411784927,0.0619864411784927
77,-0.0029351394623518,0.0931142047047615,0.031270008534193,-0.995159924030304,0.0118707319234939,-0.186217878626725,0.0639320061710761,0.0639320061710761
78,-0.00240802066400647,0.104648500680923,0.0332991145551205,-0.993948817253113,0.0120191246960542,-0.209396988029875,0.0682416473641862,0.0682416473641862
79,-0.00238204677589238,0.110569976270199,0.0343803204596043,-0.993270635604858,0.0126435360730152,-0.221289683271408,0.0706035622137203,0.0706035622137203
80,-0.00214347941800952,0.116639494895935,0.0355142168700695,-0.992536842823029,0.0128898355903828,-0.233501838977488,0.0730437949675185,0.0730437949675185
81,-0.00194621167611331,0.122871167957783,0.0366112850606441,-0.991745173931122,0.0132568686491467,-0.246046326283295,0.0754377323292256,0.0754377323292256
82,-0.00161943992134184,0.128895044326782,0.0380425453186035,-0.990926921367645,0.0134631198823257,-0.258186865710907,0.0784917946583633,0.0784917946583633
83,0.000190534323337488,0.141396194696426,0.0408446863293648,-0.989110171794891,0.011638517312528,-0.283511156478725,0.0842028373372092,0.0842028373372092
84,-0.00035703758476302,0.147766873240471,0.0414046943187714,-0.988155126571655,0.0135322693714114,-0.296321068760964,0.0857727998370179,0.0857727998370179
85,-0.00221465830691159,0.153787598013878,0.0420582219958305,-0.987205982208252,0.0181662739638577,-0.308315251221382,0.0879780257518662,0.0879780257518662
86,-0.00227088248357177,0.160372376441956,0.0427340418100357,-0.986128509044647,0.0191695044095114,-0.321617385702015,0.0897257026316247,0.0897257026316247
87,-0.00222136569209397,0.16682705283165,0.0435571223497391,-0.98502117395401,0.0200213017133112,-0.334675616613582,0.0917634371928644,0.0917634371928644
88,-0.00208268081769347,0.17321290075779,0.0445620901882649,-0.983873605728149,0.0207799213233336,-0.347611938131219,0.0941717377102308,0.0941717377102308
89,-0.00197825976647437,0.179599180817604,0.0453576594591141,-0.982691705226898,0.0215689218615886,-0.360563721451104,0.0961789444728963,0.0961789444728963
90,-0.00165912846568972,0.186135604977608,0.0458884723484516,-0.981450438499451,0.0218506413743236,-0.373862132275618,0.0975764628333758,0.0975764628333758
91,-0.0010124237742275,0.192270919680595,0.0470766350626946,-0.980211555957794,0.0216881483625929,-0.386379198633687,0.10022327993368,0.10022327993368
92,-0.000566847214940935,0.198607251048088,0.0476382821798325,-0.978920578956604,0.0217447009388805,-0.3993151006369,0.101651747957453,0.101651747957453
93,-0.000398782984120771,0.20515201985836,0.0478834360837936,-0.977558076381683,0.0223001619721927,-0.412671277265107,0.102555101368123,0.102555101368123
94,-0.000301936030155048,0.211606815457344,0.0480898879468441,-0.976171016693115,0.0229976411590952,-0.425855285669767,0.103420411898669,0.103420411898669
95,-0.000189363388926722,0.217922389507294,0.0484929606318474,-0.974760591983795,0.0237569732226094,-0.438769622220873,0.104712623685671,0.104712623685671
96,-0.000158587237820029,0.224154770374298,0.0488591492176056,-0.973328053951263,0.0246892647878546,-0.451523334363238,0.105982687527285,0.105982687527285
97,6.24E-05,0.23675325512886,0.0492868199944496,-0.970318853855133,0.0261417805897233,-0.477385396371445,0.107863142288834,0.107863142288834
98,4.91E-05,0.242891311645508,0.0495875328779221,-0.968785226345062,0.0271968253427658,-0.489997776535877,0.109081461688863,0.109081461688863
99,0.000102177385997493,0.24897526204586,0.0497474484145641,-0.967231452465057,0.0280445518435113,-0.502529088293541,0.109974272405638,0.109974272405638
100,-0.000337224686518311,0.255109667778015,0.0494640544056892,-0.965646028518677,0.0297539994829653,-0.515141411338272,0.110196524336107,0.110196524336107
101,-0.000645971682388335,0.261172354221344,0.0493634156882763,-0.964029014110565,0.0312900405602453,-0.527635274574627,0.110773779625627,0.110773779625627
102,-0.000356676115188748,0.267231494188309,0.0494643785059452,-0.962361991405487,0.0316322226005705,-0.540204655315839,0.111466115783918,0.111466115783918
103,-0.00070159079041332,0.273280888795853,0.0491941645741463,-0.960675358772278,0.0331814617895145,-0.55271432136869,0.111737947915933,0.111737947915933
104,-0.000700392236467451,0.27923247218132,0.0489200167357922,-0.958976328372955,0.0339460554446788,-0.565083241697307,0.111792813817214,0.111792813817214
105,0.000153128785314038,0.285076439380646,0.0495969392359257,-0.957220733165741,0.033403600435733,-0.577316540321374,0.113454491871107,0.113454491871107
106,-0.000549691554624587,0.295835345983505,0.0526466146111488,-0.95378702878952,0.0390098963017884,-0.599548564891942,0.1223419058646,0.1223419058646
107,-0.00127407535910606,0.312727004289627,0.0533822141587734,-0.948340952396393,0.0444816001956618,-0.634788972981067,0.127075900473442,0.127075900473442
108,-0.00166686694137752,0.318332672119141,0.0532363653182983,-0.946481585502625,0.0464334209439553,-0.646522744897563,0.127933056750968,0.127933056750968
109,-0.00184870767407119,0.324272602796555,0.0520134307444096,-0.94453090429306,0.0471044933146751,-0.659065799429666,0.126137390846359,0.126137390846359
110,-0.00186605809722096,0.329552501440048,0.0522664487361908,-0.942687690258026,0.0484649526089281,-0.670190107700082,0.127654479695565,0.127654479695565
111,-0.00201030191965401,0.339848905801773,0.0527364499866962,-0.938998222351074,0.0514763562077985,-0.691927961874628,0.130765848496967,0.130765848496967
112,-0.00209809583611786,0.344799548387527,0.0529745109379292,-0.937177956104279,0.0530370864642023,-0.702404403630614,0.132367231543623,0.132367231543623
113,-0.00212452677078545,0.368904501199722,0.0541698709130287,-0.927884995937347,0.0602581701835776,-0.753741700447015,0.140483106357602,0.140483106357602
114,-0.00199086149223149,0.373619645833969,0.0544754154980183,-0.925978899002075,0.0615102858772692,-0.763855391163874,0.142236828111724,0.142236828111724
115,-0.0021997089497745,0.378192961215973,0.0548119805753231,-0.924100041389465,0.0636798137796482,-0.773627851745284,0.144435336591067,0.144435336591067
116,-0.00213837483897805,0.382776468992233,0.0550404749810696,-0.92219752073288,0.0650894195565049,-0.783489045354318,0.146122680613631,0.146122680613631
117,-0.00232810131274164,0.387419909238815,0.0550882332026958,-0.920253038406372,0.0670177905499696,-0.793471253937334,0.147667208965607,0.147667208965607
118,-0.00244664773344994,0.391906887292862,0.0553855337202549,-0.918332993984222,0.0690373390195412,-0.803126743758793,0.149801339101759,0.149801339101759
119,-0.00181275175418705,0.396485358476639,0.0554949007928371,-0.916360437870026,0.0689230893153418,-0.81313581845554,0.150657380707867,0.150657380707867
120,-0.00162224832456559,0.401009857654572,0.0555668622255325,-0.914385497570038,0.0699535548814456,-0.822978930001405,0.15192800032058,0.15192800032058
121,-0.00145072385203093,0.405295103788376,0.0559478178620338,-0.912471175193787,0.0713612076181099,-0.832294378257627,0.154025422204654,0.154025422204654
122,-0.00117385725025088,0.413891315460205,0.0561166442930698,-0.908594191074371,0.0737730909600686,-0.851071026764985,0.156815527556622,0.156815527556622
123,-0.00102652050554752,0.418024510145187,0.0564396157860756,-0.906680285930634,0.0752566150995533,-0.860108279479012,0.158868917037368,0.158868917037368
124,-0.000686799292452633,0.422281086444855,0.0564380921423435,-0.904706060886383,0.0758744009331586,-0.869494554929009,0.159851890718765,0.159851890718765
125,-0.000358563876943663,0.4263756275177,0.0567391365766525,-0.902764797210693,0.0768927318293976,-0.878517086193788,0.161679548725284,0.161679548725284
126,-9.76E-05,0.43060913681984,0.0567169599235058,-0.900754690170288,0.0777597824421284,-0.887879411061047,0.162763217944382,0.162763217944382
127,5.44E-05,0.434682220220566,0.0568182393908501,-0.898789823055267,0.079078878884424,-0.896877341791167,0.16432727497836,0.16432727497836
128,5.04E-06,0.438932001590729,0.0567052140831947,-0.896729111671448,0.0807937638020344,-0.906266578225465,0.16565991687606,0.16565991687606
129,0.000770584738347679,0.447242230176926,0.0567838326096535,-0.892608284950256,0.0821826438571109,-0.924818680309793,0.168041560115393,0.168041560115393
130,0.00100019969977438,0.451476961374283,0.0565604232251644,-0.890487730503082,0.0830219784663843,-0.93429896308632,0.168755026922047,0.168755026922047
131,0.00138510984834284,0.455658912658691,0.0566736608743668,-0.888347506523132,0.083918935151052,-0.94368126085992,0.170261821532954,0.170261821532954
132,0.00164960487745702,0.460009753704071,0.0563176572322845,-0.886124432086945,0.0845617770825846,-0.953484890307853,0.17063264912012,0.17063264912012
133,0.00193617702461779,0.464298397302628,0.0561753176152706,-0.883893370628357,0.0854759901927008,-0.96315712581064,0.171629233030045,0.171629233030045
134,0.00205818004906178,0.468557715415955,0.0562208704650402,-0.881639778614044,0.0872381568378544,-0.972736600220179,0.173511310844217,0.173511310844217
135,0.00246621645055711,0.473004460334778,0.0558550842106342,-0.879284381866455,0.0875592755421922,-0.982858589112877,0.17376154198996,0.17376154198996
136,0.00255300151184201,0.477380663156509,0.0557132661342621,-0.876924872398376,0.089278899470767,-0.992762264289245,0.175271839976279,0.175271839976279
137,0.00258031999692321,0.48184409737587,0.0554728582501411,-0.874495625495911,0.0911247855909802,-1.00288674748466,0.176675279901943,0.176675279901943
