time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.1,0.0004910004221398914,-0.0014158586236295131,-0.0011628337714298146,0.0027589788236631325,0.0028041177669424692,-0.00544635997605989,-3.1633403301239014,0.21361592411994934,-1.4056986570358276,0.09804114278374851,0.007502863461540166,-0.16120307971060513,0.10989392959873319,-0.20478416126169474,-0.213173836020327,0.0027589788236631325,0.0028041177669424692,-0.00544635997605989,0.00026713158353966433,-0.0013556892288255407,-0.0012994871559762716,0.002720370413217533,0.0033237642218471052,-0.005145871689678605,0.0,0.0,0.0,0.0,-3.1633403301239014,0.21361592411994934,-1.4056986570358276,-0.16120307971060513,0.0,0.0
0.11,6.565322700770556e-05,-0.0007162855524588289,-0.0004390217100790347,-0.0007218099698076824,0.0012393648254092826,-0.0020398300282203044,-3.1631267070770264,0.2126639187335968,-1.406341791152954,0.09673643167813895,0.010274685738054012,-0.16470227147003108,-0.022663051853807265,0.037274163245725175,0.0385656481729144,-0.0007218099698076824,0.0012393648254092826,-0.0020398300282203044,-5.030850747413194e-05,-0.0006713704993440507,-0.0005067998692627498,-0.0007414413554017767,0.0014305886586700913,-0.0019106891938449541,0.0,0.0,0.0,0.0,-3.1631267070770264,0.2126639187335968,-1.406341791152954,-0.16470227147003108,0.0,0.0
0.12,1.846244664804396e-05,-0.0010310862224424723,-0.0006011877660890316,-0.0009912507349512172,0.0015605905493040206,-0.0033689678693704516,-3.1631107330322266,0.21218596398830414,-1.4066609144210815,0.09614276944239641,0.011459760497203986,-0.16662832262962474,-0.007706450662889351,-0.05140825842217238,-0.02648239127032215,-0.0009912507349512172,0.0015605905493040206,-0.0033689678693704516,-0.0001503281550505906,-0.0009569344079706965,-0.0006975560011804768,-0.0010279648422005067,0.001876786634448618,-0.0032038113586560692,0.0,0.0,0.0,0.0,-3.1631107330322266,0.21218596398830414,-1.4066609144210815,-0.16662832262962474,0.0,0.0
0.13,6.177788344261172e-05,-0.0007206533580797432,-0.0003616687210187932,-0.0024686722477414375,0.0015562022831662546,-0.0017345159008764048,-3.1629889011383057,0.2117466777563095,-1.4068711996078491,0.09397951461729316,0.01307202019175957,-0.1679752884778115,0.004820198716117979,0.03454537700586485,0.02665399402547773,-0.0024686722477414375,0.0015562022831662546,-0.0017345159008764048,-5.8886487855181916e-05,-0.0006833061105767865,-0.00042847073873735544,-0.0024893380121656233,0.0017121041495873522,-0.0015809609139096246,0.0,0.0,0.0,0.0,-3.1629889011383057,0.2117466777563095,-1.4068711996078491,-0.1679752884778115,0.0,0.0
0.14,-3.57124874803606e-05,-0.0005830489102577517,-0.0002785463683982107,-0.001308682746468805,0.0005496417544948542,-0.0012446818295837648,-3.1628897190093994,0.2112916111946106,-1.4070407152175903,0.09231731323329415,0.014118066895477899,-0.16945130584969617,-0.007154554489243023,0.010098418034356377,0.006100124509403175,-0.001308682746468805,0.0005496417544948542,-0.0012446818295837648,-0.00013338217316678633,-0.0005401302878764254,-0.00033057217194200377,-0.0013254661812969369,0.0006620437984600673,-0.0011888307734010614,0.0,0.0,0.0,0.0,-3.1628897190093994,0.2112916111946106,-1.4070407152175903,-0.16945130584969617,0.0,0.0
0.15,-4.154741525555889e-05,-0.0010233966981194273,-0.0005923292264878251,0.0018972866143657928,0.0010471180579370658,-0.003488947837748617,-3.162889242172241,0.21086160838603973,-1.4073187112808228,0.09348705270343674,0.015003862366947951,-0.17138162597890125,-0.0009830673190289324,-0.0741896962450041,-0.052866065347126005,0.0018972866143657928,0.0010471180579370658,-0.003488947837748617,-0.00021540672561836606,-0.0009406778644012542,-0.0006845772417862712,0.00184663032765018,0.00136824211740385,-0.0033763431119089014,0.0,0.0,0.0,0.0,-3.162889242172241,0.21086160838603973,-1.4073187112808228,-0.17138162597890125,0.0,0.0
0.16,0.00017707921983797068,-0.0017999783670884426,-0.001015625936493779,0.003269002597879709,0.0016964349717126924,-0.0071235162373156,-3.162868022918701,0.21004050970077515,-1.4078484773635864,0.09499699106726267,0.01641763217156922,-0.17525875405343122,0.1072079519184898,-0.3990698032438573,-0.21442566589382855,0.003269002597879709,0.0016964349717126924,-0.0071235162373156,-0.00014039779660855484,-0.001697042273926109,-0.0011845299465099357,0.003155210242792232,0.002364481292137149,-0.006931417756545816,0.0,0.0,0.0,0.0,-3.162868022918701,0.21004050970077515,-1.4078484773635864,-0.17525875405343122,0.0,0.0
0.17,-0.00012666846337695597,-0.0007825873645202358,-0.0006204899362434462,0.00032183529674578205,0.0014087279484781645,-0.002280487840154147,-3.162856340408325,0.20969770848751068,-1.408195972442627,0.09536167789154013,0.01790809213646516,-0.17693336302614102,-0.03604396884227634,0.12072786599999548,0.04688848827007221,0.00032183529674578205,0.0014087279484781645,-0.002280487840154147,-0.0002635921488268153,-0.00068423734205943,-0.0006898072792517573,0.00028357967732867807,0.0016194691094535796,-0.002136333896622211,0.0,0.0,0.0,0.0,-3.162856340408325,0.20969770848751068,-1.408195972442627,-0.17693336302614102,0.0,0.0
0.18,-0.00012666846337695597,-0.0007825873645202358,-0.0006204899362434462,0.00032183529674578205,0.0014087279484781645,-0.002280487840154147,-3.162856340408325,0.20969770848751068,-1.408195972442627,0.09536167789154013,0.01790809213646516,-0.17693336302614102,-0.03604396884227634,0.12072786599999548,0.04688848827007221,0.00032183529674578205,0.0014087279484781645,-0.002280487840154147,-0.0002635921488268153,-0.00068423734205943,-0.0006898072792517573,0.00028357967732867807,0.0016194691094535796,-0.002136333896622211,0.0,0.0,0.0,0.0,-3.162856340408325,0.20969770848751068,-1.408195972442627,-0.17693336302614102,0.0,0.0
0.19,-0.00022342603126964438,-0.0006229302999380868,-0.0003470213137421782,0.0008490855401569043,0.00020287443417486427,-0.001310184651460673,-3.1629180908203125,0.20930151641368866,-1.4083720445632935,0.09695945750120992,0.018693850652399924,-0.17878724365578375,-0.005913915947168946,0.00975839390007965,0.01671466617943777,0.0008490855401569043,0.00020287443417486427,-0.001310184651460673,-0.00033157391918532084,-0.0005359878911772185,-0.0004014484510478159,0.0008250725279808322,0.0003287573972612176,-0.0012846155282669966,0.0,0.0,0.0,0.0,-3.1629180908203125,0.20930151641368866,-1.4083720445632935,-0.17878724365578375,0.0,0.0
0.2,-0.00023009098780714106,-0.0010675055947401548,-0.0006053953953558958,0.0005381816082334804,0.0013710145440694944,-0.0034413308970551643,-3.1630377769470215,0.20864351093769073,-1.408780813217163,0.09760411934355433,0.020610466073946343,-0.18203484955942922,-0.0006442546579947097,-0.04297397933418204,-0.024975212463615545,0.0005381816082334804,0.0013710145440694944,-0.0034413308970551643,-0.0004222137681659185,-0.0009425693718625377,-0.0007016495958721249,0.00047033579361718987,0.0016998442135801582,-0.0032920467686829097,0.0,0.0,0.0,0.0,-3.1630377769470215,0.20864351093769073,-1.408780813217163,-0.18203484955942922,0.0,0.0
0.21,-0.00023009098780714106,-0.0010675055947401548,-0.0006053953953558958,0.0005381816082334804,0.0013710145440694944,-0.0034413308970551643,-3.1630377769470215,0.20864351093769073,-1.408780813217163,0.09760411934355433,0.020610466073946343,-0.18203484955942922,-0.0006442546579947097,-0.04297397933418204,-0.024975212463615545,0.0005381816082334804,0.0013710145440694944,-0.0034413308970551643,-0.0004222137681659185,-0.0009425693718625377,-0.0007016495958721249,0.00047033579361718987,0.0016998442135801582,-0.0032920467686829097,0.0,0.0,0.0,0.0,-3.1630377769470215,0.20864351093769073,-1.408780813217163,-0.18203484955942922,0.0,0.0
0.22,-0.00023009098780714106,-0.0010675055947401548,-0.0006053953953558958,0.0005381816082334804,0.0013710145440694944,-0.0034413308970551643,-3.1630377769470215,0.20864351093769073,-1.408780813217163,0.09760411934355433,0.020610466073946343,-0.18203484955942922,-0.0006442546579947097,-0.04297397933418204,-0.024975212463615545,0.0005381816082334804,0.0013710145440694944,-0.0034413308970551643,-0.0004222137681659185,-0.0009425693718625377,-0.0007016495958721249,0.00047033579361718987,0.0016998442135801582,-0.0032920467686829097,0.0,0.0,0.0,0.0,-3.1630377769470215,0.20864351093769073,-1.408780813217163,-0.18203484955942922,0.0,0.0
